City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Mount Pleasant,US,2022-09-13 18:06:18,32.7941,-79.8626,89.08,65,40,8.05
252,Ginir,ET,2022-09-13 18:07:12,7.1333,40.7,64.76,63,100,6.17
253,Progreso,MX,2022-09-13 18:07:13,21.2833,-89.6667,86.11,72,100,2.57
254,Saint Anthony,US,2022-09-13 18:07:13,45.0205,-93.218,78.84,42,0,9.22
255,Pasan,IN,2022-09-13 18:07:13,22.85,82.2,73.47,96,99,5.55
256,Viedma,AR,2022-09-13 18:07:14,-40.8135,-62.9967,65.73,32,30,1.45
257,Vizianagaram,IN,2022-09-13 18:07:14,18.1167,83.4167,81.91,83,96,11.03
258,Karlstadt,DE,2022-09-13 18:07:15,49.9603,9.7722,67.68,83,100,3.04
259,Carepa,CO,2022-09-13 18:07:16,7.7585,-76.6525,88.5,60,79,4.41
260,Guia Lopes Da Laguna,BR,2022-09-13 18:07:16,-21.4578,-56.1142,90.66,37,68,3.0
261,Sambava,MG,2022-09-13 18:07:16,-14.2667,50.1667,70.86,86,50,9.73
262,Igarka,RU,2022-09-13 18:07:17,67.4667,86.5833,33.98,93,100,7.85
263,Henties Bay,NA,2022-09-13 18:07:17,-22.116,14.2845,59.76,77,0,7.05
264,Thompson,CA,2022-09-13 18:03:07,55.7435,-97.8558,50.59,41,77,7.4
265,Sao Joao Da Barra,BR,2022-09-13 18:07:19,-21.6403,-41.0511,80.69,70,15,14.74
266,Santa Lucia,ES,2022-09-13 18:07:20,27.9117,-15.5407,70.77,73,75,17.27
267,Urumqi,CN,2022-09-13 18:07:20,43.801,87.6005,52.75,71,0,6.71
268,Nema,RU,2022-09-13 18:07:21,57.5067,50.5011,48.7,63,56,4.83
269,Olden,NO,2022-09-13 18:07:21,61.8364,6.8064,56.14,99,100,5.01
270,Abha,SA,2022-09-13 18:04:40,18.2164,42.5053,71.85,64,0,5.75
271,Shache,CN,2022-09-13 18:07:22,38.4167,77.2406,75.24,23,97,5.88
272,Boende,CD,2022-09-13 18:07:22,-0.2167,20.8667,77.5,71,82,1.25
273,Matara,LK,2022-09-13 18:07:22,5.9485,80.5353,76.75,93,78,5.99
274,Coquimbo,CL,2022-09-13 18:08:23,-29.9533,-71.3436,62.33,51,0,12.66
275,Lichinga,MZ,2022-09-13 18:08:23,-13.3128,35.2406,69.93,33,58,6.06
276,Luziania,BR,2022-09-13 18:08:24,-16.2525,-47.9503,96.98,13,7,4.5
277,Kuloy,RU,2022-09-13 18:08:24,61.0305,42.4925,48.45,73,85,5.39
278,Skelleftea,SE,2022-09-13 18:08:05,64.7507,20.9528,53.96,100,75,4.61
279,Porto Velho,BR,2022-09-13 18:04:34,-8.7619,-63.9039,91.45,52,40,5.75
280,Balykshi,KZ,2022-09-13 18:08:25,47.0667,51.8667,69.8,23,0,20.13
281,Abrau-Dyurso,RU,2022-09-13 18:08:26,44.69,37.59,63.86,80,94,5.17
